"ucd","cv"
"1629",0
"1734",0
"303",0
"421",0
"8229",0
"A021",0
"A047",0
"A048",0
"A049",0
"A081",0
"A084",0
"A09",0
"A090",0
"A099",0
"A162",0
"A169",0
"A180",0
"A280",0
"A310",0
"A319",0
"A390",0
"A400",0
"A402",0
"A403",0
"A409",0
"A410",0
"A411",0
"A412",0
"A414",0
"A415",0
"A418",0
"A419",0
"A439",0
"A481",0
"A490",0
"A491",0
"A498",0
"A499",0
"A523",0
"A810",0
"A86",0
"A879",0
"A89",0
"A923",0
"A985",0
"B004",0
"B007",0
"B008",0
"B009",0
"B020",0
"B027",0
"B028",0
"B029",0
"B162",0
"B169",0
"B171",0
"B181",0
"B182",0
"B188",0
"B199",0
"B200",0
"B201",0
"B202",0
"B203",0
"B205",0
"B206",0
"B207",0
"B208",0
"B210",0
"B212",0
"B218",0
"B219",0
"B220",0
"B222",0
"B227",0
"B232",0
"B238",0
"B24",0
"B250",0
"B259",0
"B332",0
"B349",0
"B371",0
"B374",0
"B377",0
"B378",0
"B379",0
"B382",0
"B387",0
"B389",0
"B399",0
"B440",0
"B441",0
"B449",0
"B450",0
"B451",0
"B457",0
"B459",0
"B461",0
"B49",0
"B59",0
"B789",0
"B909",0
"B91",0
"B942",0
"B948",0
"B949",0
"B99",0
"C009",0
"C01",0
"C029",0
"C049",0
"C051",0
"C059",0
"C062",0
"C069",0
"C07",0
"C080",0
"C089",0
"C090",0
"C099",0
"C109",0
"C119",0
"C12",0
"C131",0
"C139",0
"C140",0
"C155",0
"C159",0
"C160",0
"C169",0
"C170",0
"C171",0
"C172",0
"C179",0
"C180",0
"C181",0
"C182",0
"C184",0
"C186",0
"C187",0
"C189",0
"C19",0
"C20",0
"C210",0
"C211",0
"C218",0
"C220",0
"C221",0
"C229",0
"C23",0
"C240",0
"C241",0
"C249",0
"C250",0
"C252",0
"C253",0
"C254",0
"C259",0
"C260",0
"C268",0
"C269",0
"C310",0
"C313",0
"C319",0
"C320",0
"C321",0
"C329",0
"C33",0
"C340",0
"C341",0
"C342",0
"C343",0
"C349",0
"C37",0
"C383",0
"C384",0
"C399",0
"C400",0
"C402",0
"C410",0
"C411",0
"C412",0
"C414",0
"C419",0
"C433",0
"C434",0
"C435",0
"C436",0
"C437",0
"C439",0
"C442",0
"C443",0
"C444",0
"C445",0
"C446",0
"C447",0
"C449",0
"C450",0
"C451",0
"C457",0
"C459",0
"C469",0
"C480",0
"C482",0
"C490",0
"C491",0
"C492",0
"C493",0
"C494",0
"C495",0
"C499",0
"C509",0
"C52",0
"C539",0
"C541",0
"C55",0
"C56",0
"C579",0
"C609",0
"C61",0
"C629",0
"C632",0
"C639",0
"C64",0
"C65",0
"C66",0
"C675",0
"C679",0
"C680",0
"C689",0
"C696",0
"C699",0
"C700",0
"C709",0
"C710",0
"C711",0
"C712",0
"C713",0
"C714",0
"C717",0
"C718",0
"C719",0
"C729",0
"C73",0
"C740",0
"C741",0
"C749",0
"C750",0
"C751",0
"C755",0
"C759",0
"C760",0
"C761",0
"C762",0
"C763",0
"C765",0
"C767",0
"C779",0
"C780",0
"C782",0
"C786",0
"C787",0
"C788",0
"C792",0
"C793",0
"C794",0
"C795",0
"C798",0
"C80",0
"C819",0
"C822",0
"C829",0
"C830",0
"C831",0
"C833",0
"C835",0
"C837",0
"C839",0
"C840",0
"C841",0
"C844",0
"C845",0
"C850",0
"C851",0
"C859",0
"C880",0
"C900",0
"C901",0
"C902",0
"C910",0
"C911",0
"C913",0
"C914",0
"C915",0
"C917",0
"C919",0
"C920",0
"C921",0
"C924",0
"C925",0
"C927",0
"C929",0
"C930",0
"C940",0
"C947",0
"C950",0
"C951",0
"C959",0
"C969",0
"C97",0
"D126",0
"D134",0
"D136",0
"D142",0
"D150",0
"D180",0
"D239",0
"D300",0
"D320",0
"D329",0
"D332",0
"D333",0
"D350",0
"D352",0
"D369",0
"D370",0
"D371",0
"D374",0
"D376",0
"D377",0
"D379",0
"D380",0
"D381",0
"D382",0
"D385",0
"D400",0
"D410",0
"D414",0
"D430",0
"D431",0
"D432",0
"D439",0
"D440",0
"D441",0
"D443",0
"D444",0
"D449",0
"D45",0
"D461",0
"D463",0
"D464",0
"D467",0
"D469",0
"D471",0
"D472",0
"D479",0
"D480",0
"D481",0
"D483",0
"D487",0
"D489",0
"D500",0
"D509",0
"D539",0
"D570",0
"D571",0
"D589",0
"D591",0
"D593",0
"D619",0
"D62",0
"D643",0
"D649",0
"D65",0
"D682",0
"D688",0
